,Joke Number,Text,UserRating,CleanedTextNLTK,processedTextSpacy
0,1,"A man visits the doctor. The doctor says ""I have bad news for you.You have cancer and Alzheimer's disease"". The man replies ""Well,thank God I don't have cancer!""",0.7113596373160435,man visit doctor doctor say bad news cancer alzheimer disease man reply well thank god cancer,man visit doctor doctor say bad news cancer alzheimer disease man reply wellthank god cancer
1,2,"Two cannibals are eating a clown, one turns to other and says: ""Does this taste funny to you?",0.5406573329719271,two cannibal eating clown one turn say taste funny,cannibal eat clown turn say taste funny
2,3,Q: Whats the difference between greeting a Queen and greeting the President of the United States? A: You only have to get on one knee to greet the queen.,0.5482025562029306,q whats difference greeting queen greeting president united state get one knee greet queen,q s difference greeting queen greeting president united states knee greet queen
3,4,"Q. What do a hurricane, a tornado, and a redneck divorce all have in common? A. Someone's going to lose their trailer...",0.1958244529992238,q hurricane tornado redneck divorce common someone going lose trailer,q hurricane tornado redneck divorce common someone go lose trailer ..
4,5,"A guy stood over his tee shot for what seemed an eternity, looking up, looking down, measuring the distance, figuring the wind direction and speed. Driving his partner nuts. Finally his exasperated partner says, ""What the hell is taking so long? Hit the goddamn ball!"" The guy answers, ""My wife is up there watching me from the clubhouse. I want to make this a perfect shot."" ""Well, hell, man, you don't stand a snowball's chance in hell of hitting her from here!""",0.5585679956091371,guy stood tee shot seemed eternity looking looking measuring distance figuring wind direction speed driving partner nut finally exasperated partner say hell taking long hit goddamn ball guy answer wife watching clubhouse want make perfect shot well hell man stand snowball chance hell hitting,guy stand tee shoot eternity look look measure distance figure wind direction speed drive partner nut finally exasperate partner say hell take long hit goddamn ball guy answer wife watch clubhouse want perfect shot hell man stand snowball chance hell hit
5,6,"They asked the Japanese visitor if they have elections in his country. ""Every Morning"" he answers.",0.7908864546415826,asked japanese visitor election country every morning answer,ask japanese visitor election country morning answer
6,7,"The father was very anxious to marry off his only daughter so he wanted to impress her date. ""Do you like to screw,"" he says. ""Huh"" replied the surprised first date. ""My daughter she loves to screw and she's good at it, you and her should go screw,"" carefully explained the father. Now very interested the boy replied, ""Yes, sir."" Minutes later the girl came down the stairs, kissed her father goodbye and the couple left. After only a few minutes she reappeared, furious, dress torn, hair a mess and screamed ""Dammit, Daddy, it's the TWIST, get it straight!""",0.3466161803077972,father anxious marry daughter wanted impress date like screw say huh replied surprised first date daughter love screw good go screw carefully explained father interested boy replied yes sir minute later girl came stair kissed father goodbye couple left minute reappeared furious dress torn hair mess screamed dammit daddy twist get straight,father anxious marry daughter want impress date like screw say huh reply surprised date daughter loves screw good screw carefully explain father interested boy reply yes sir minute later girl come stair kiss father goodbye couple leave minute reappear furious dress tear hair mess scream dammit daddy twist straight
7,8,Q: What did the blind person say when given some matzah? A: Who the hell wrote this?,0.26967597089133,q blind person say given matzah hell wrote,q blind person give matzah hell write
8,9,Q. What is orange and sounds like a parrot? A. A carrot.,0.3497724994082854,q orange sound like parrot carrot,q orange sound like parrot carrot
9,10,How many men does it take to screw in a light bulb? One...men will screw anything.,0.7652543421973095,many men take screw light bulb one men screw anything,man screw light bulb ... man screw
10,11,"A dog walks into Western Union and asks the clerk to send a telegram. He fills out a form on which he writes down the telegram he wishes to send: ""Bow wow wow, Bow wow wow."" The clerk says, ""You can add another 'Bow wow' for the same price."" The dog responded, ""Now wouldn't that sound a little silly?""",0.8492416208405883,dog walk western union asks clerk send telegram fill form writes telegram wish send bow wow wow bow wow wow clerk say add another wow price dog responded would sound little silly,dog walk western union ask clerk send telegram fill form write telegram wish send bow wow wow bow wow wow clerk say add bow wow price dog respond sound little silly
11,12,"Q: If a person who speaks three languages is called ""tri-lingual,"" and a person who speaks two languages is called ""bi-lingual,"" what do call a person who only speaks one language? A: American!",0.8182238578282195,q person speaks three language called person speaks two language called call person speaks one language american,q person speak language call trilingual person speak language call bilingual person speak language american
12,13,"This couple had an excellent relationship going until one day he came home from work to find his girlfriend packing. He asked her why she was leaving him and she told him that she had heard awful things about him. ""What could they possibly have said to make you move out?"" ""They told me that you were a pedophile."" He replied, ""That's an awfully big word for a ten year old.""",0.1251150518772845,couple excellent relationship going one day came home work find girlfriend packing asked leaving told heard awful thing could possibly said make move told pedophile replied awfully big word ten year old,couple excellent relationship go day come home work find girlfriend packing ask leave tell hear awful thing possibly say tell pedophile reply awfully big word year old
13,14,What's the difference between a MacIntosh and an Etch-A-Sketch? You don't have to shake the Mac to clear the screen.,0.7892291145834065,difference macintosh shake mac clear screen,difference macintosh etchasketch shake mac clear screen
14,15,"What's the difference between a used tire and 365 used condoms? One's a Goodyear, the other's a great year.",0.1078872272324489,difference used tire used condom one goodyear great year,difference tire 365 condom one goodyear great year
15,16,"A duck walks into a pharmacy and asks for a condom. The pharmacist says ""Would you like me to stick that on your bill?"" The duck says: ""What kind of duck do you think I am!""",0.0429779875249557,duck walk pharmacy asks condom pharmacist say would like stick bill duck say kind duck think,duck walk pharmacy ask condom pharmacist say like stick bill duck say kind duck think
16,17,Q: What is the Australian word for a boomerang that won't come back? A: A stick,0.2161743605790051,q australian word boomerang wo come back stick,q australian word boomerang come stick
17,18,What do you get when you run over a parakeet with a lawnmower? Shredded tweet.,0.2877856162643668,get run parakeet lawnmower shredded tweet,run parakeet lawnmower shred tweet
18,19,"Two kindergarten girls were talking outside: one said, ""You won't believe what I saw on the patio yesterday--a condom!"" The second girl asked, ""What's a patio?""",0.5427850656877006,two kindergarten girl talking outside one said wo believe saw patio yesterday condom second girl asked patio,kindergarten girl talk outside say believe see patio yesterdaya condom second girl ask patio
19,20,"A guy walks into a bar and sits down next to an extremely gorgeous woman. The first thing he notices about her though, are her pants. They were skin-tight, high-waisted and had no obvious mechanism (zipper, buttons or velcro) for opening them. After several minutes of puzzling over how she got the pants up over her hips, he finally worked up the nerve to ask her. ""Excuse me miss, but how do you get into your pants?"" ""Well,"" she replied, ""you can start by buying me a drink.""",0.230894086803875,guy walk bar sits next extremely gorgeous woman first thing notice though pant obvious mechanism zipper button velcro opening several minute puzzling got pant hip finally worked nerve ask excuse miss get pant well replied start buying drink,guy walk bar sit extremely gorgeous woman thing notice pant skintight highwaiste obvious mechanism zipper button velcro open minute puzzle get pant hip finally work nerve ask excuse miss pant reply start buy drink
20,21,"Clinton returns from a vacation in Arkansas and walks down the steps of Air Force One with two pigs under his arms. At the bottom of the steps, he says to the honor guardsman, ""These are genuine Arkansas Razor-Back Hogs. I got this one for Chelsea and this one for Hillary."" The guardsman replies, ""Nice trade, Sir.""",0.8915627320860312,clinton return vacation arkansas walk step air force one two pig arm bottom step say honor guardsman genuine arkansas hog got one chelsea one hillary guardsman reply nice trade sir,clinton return vacation arkansas walk step air force pig arm step say honor guardsman genuine arkansas razorback hog get chelsea hillary guardsman reply nice trade sir
21,22,"A mechanical, electrical and a software engineer from Microsoft were driving through the desert when the car broke down. The mechanical engineer said ""It seems to be a problem with the fuel injection system, why don't we pop the hood and I'll take a look at it."" To which the electrical engineer replied, ""No I think it's just a loose ground wire, I'll get out and take a look."" Then, the Microsoft engineer jumps in. ""No, no, no. If we just close up all the windows, get out, wait a few minutes, get back in, and then reopen the windows everything will work fine.""",0.7070969717133107,mechanical electrical software engineer microsoft driving desert car broke mechanical engineer said seems problem fuel injection system pop hood take look electrical engineer replied think loose ground wire get take look microsoft engineer jump close window get wait minute get back reopen window everything work fine,mechanical electrical software engineer microsoft drive desert car break mechanical engineer say problem fuel injection system pop hood    look electrical engineer reply think loose ground wire    look microsoft engineer jump close window wait minute reopen window work fine
22,23,"An old Scotsmen is sitting with a younger Scottish gentleman and says the boy. ""Ah, lad look out that window. You see that stone wall there, I built it with me own bare hands, placed every stone meself. But do they call me MacGregor the wall builder? No! He Takes a few sips of his beer then says, ""Aye, and look out on that lake and eye that beautiful pier. I built it meself, laid every board and hammered each nail but do they call me MacGregor the pier builder? No! He continues...""And lad, you see that road? That too I build with me own bare hands. Laid every inch of pavement meself, but do they call MacGregor the road builder? No!"" Again he returns to his beer for a few sips, then says, ""Agh, but you screw one sheep...""",0.5427423568000921,old scotsman sitting younger scottish gentleman say boy ah lad look window see stone wall built bare hand placed every stone meself call macgregor wall builder take sip beer say aye look lake eye beautiful pier built meself laid every board hammered nail call macgregor pier builder continues lad see road build bare hand laid every inch pavement meself call macgregor road builder return beer sip say agh screw one sheep,old scotsman sit young scottish gentleman say boy ah lad look window stone wall build bare hand place stone meself macgregor wall builder take sip beer say aye look lake eye beautiful pier build meself laid board hammer nail macgregor pier builder continue ... lad road build bare hand lay inch pavement meself macgregor road builder return beer sip say agh screw sheep ..
23,24,Q. What's 200 feet long and has 4 teeth? A. The front row at a Willie Nelson Concert.,0.1504844866501405,q foot long teeth front row willie nelson concert,q 200 foot long 4 tooth row willie nelson concert
24,25,Q: What's the difference between a Lawyer and a Plumber? A: A Plumber works to unclog the system.,0.6030993832580226,q difference lawyer plumber plumber work unclog system,q difference lawyer plumber plumber work unclog system
25,26,"President Clinton looks up from his desk in the Oval Office to see one of his aides nervously approach him. ""What is it?"" exclaims the President. ""It's this Abortion Bill Mr. President, what do you want to do about it?"" the aide replies. ""Just go ahead and pay it."" responds the President.",0.7697969357291401,president clinton look desk oval office see one aide nervously approach exclaims president abortion bill president want aide reply go ahead pay responds president,president clinton look desk oval office aide nervously approach exclaim president abortion bill mr president want aide reply ahead pay respond president
