,JokeId,JokeSentences
0,1,man visit doctor doctor say bad news
1,1,doctor say bad news cancer alzheimers disease
2,1,news cancer alzheimers disease man reply wellthank
3,1,wellthank god cancer
4,2,cannibal eat clown turn say taste funny
5,2,say taste funny
6,3,question s difference greet queen greet president
7,3,greet queen greet president united states answer
8,3,president united states answer knee greet queen
9,3,knee greet queen
10,4,question hurricane tornado redneck divorce common answer
11,4,redneck divorce common answer someones go lose
12,4,go lose trailer
13,5,guy stand tee shoot eternity look look
14,5,shoot eternity look look measure distance figure
15,5,look measure distance figure wind direction speed
16,5,figure wind direction speed drive partner nut
17,5,speed drive partner nut finally exasperate partner
18,5,nut finally exasperate partner say hell take
19,5,partner say hell take long hit goddamn
20,5,take long hit goddamn ball guy answer
21,5,goddamn ball guy answer wife watch clubhouse
22,5,answer wife watch clubhouse want perfect shot
23,5,clubhouse want perfect shot hell man stand
24,5,shot hell man stand snowball chance hell
25,5,chance hell hit
26,6,ask japanese visitor election country morning answer
27,6,country morning answer
28,7,father anxious marry daughter want impress date
29,7,daughter want impress date like screw say
30,7,date like screw say huh reply surprised
31,7,say huh reply surprised date daughter loves
32,7,surprised date daughter loves screw good screw
33,7,loves screw good screw carefully explain father
34,7,screw carefully explain father interested boy reply
35,7,father interested boy reply yes sir minutes
36,7,reply yes sir minutes later girl come
37,7,minutes later girl come stair kiss father
38,7,come stair kiss father goodbye couple leave
39,7,father goodbye couple leave minute reappear furious
40,7,leave minute reappear furious dress tear hair
41,7,furious dress tear hair mess scream dammit
42,7,hair mess scream dammit daddy twist straight
43,7,daddy twist straight
44,8,question blind person give matzah answer hell
45,8,answer hell write
46,9,question orange sound like parrot answer carrot
47,9,parrot answer carrot
48,10,bulb man screw
49,11,dog walk western union ask clerk send
50,11,union ask clerk send telegram fill form
51,11,send telegram fill form write telegram wish
52,11,form write telegram wish send bow wow
53,11,wish send bow wow wow bow wow
54,11,wow wow bow wow wow clerk say
55,11,wow wow clerk say add bow wow
56,11,say add bow wow price dog respond
57,11,wow price dog respond sound little silly
58,11,sound little silly
59,12,question person speak language call trilingual person
60,12,language call trilingual person speak language call
61,12,person speak language call bilingual person speak
62,12,call bilingual person speak language answer american
63,12,language answer american
64,13,couple excellent relationship go day come home
65,13,go day come home work find girlfriend
66,13,home work find girlfriend packing ask leave
67,13,girlfriend packing ask leave tell hear awful
68,13,leave tell hear awful thing possibly say
69,13,awful thing possibly say tell pedophile reply
70,13,say tell pedophile reply awfully big word
71,13,word year old
72,14,difference macintosh etchasketch shake mac clear screen
73,14,mac clear screen
74,15,difference tire 365 condom ones goodyear great
75,15,goodyear great year
76,16,duck walk pharmacy ask condom pharmacist say
77,16,ask condom pharmacist say like stick bill
78,16,say like stick bill duck say kind
79,16,kind duck think
80,17,question australian word boomerang come answer stick
81,17,come answer stick
82,18,lawnmower shred tweet
83,19,kindergarten girl talk outside say believe see
84,19,outside say believe see patio yesterdaya condom
85,19,see patio yesterdaya condom second girl ask
86,19,girl ask patio
87,20,guy walk bar sit extremely gorgeous woman
88,20,sit extremely gorgeous woman thing notice pant
89,20,woman thing notice pant skintight highwaiste obvious
90,20,pant skintight highwaiste obvious mechanism zipper button
91,20,obvious mechanism zipper button velcro open minute
92,20,button velcro open minute puzzle get pant
93,20,minute puzzle get pant hip finally work
94,20,pant hip finally work nerve ask excuse
95,20,work nerve ask excuse miss pant reply
96,20,excuse miss pant reply start buy drink
97,20,start buy drink
98,21,clinton return vacation arkansas walk step air
99,21,arkansas walk step air force pig arm
100,21,air force pig arm step say honor
101,21,arm step say honor guardsman genuine arkansas
102,21,honor guardsman genuine arkansas razorback hogs get
103,21,arkansas razorback hogs get chelsea hillary guardsman
104,21,get chelsea hillary guardsman reply nice trade
105,21,nice trade sir
106,22,mechanical electrical software engineer microsoft drive desert
107,22,engineer microsoft drive desert car break mechanical
108,22,desert car break mechanical engineer say problem
109,22,mechanical engineer say problem fuel injection system
110,22,problem fuel injection system pop hood look
111,22,system pop hood look electrical engineer reply
112,22,look electrical engineer reply think loose ground
113,22,reply think loose ground wire look microsoft
114,22,ground wire look microsoft engineer jump close
115,22,microsoft engineer jump close window wait minute
116,22,close window wait minute reopen window work
117,22,window work fine
118,23,old scotsman sit young scottish gentleman say
119,23,young scottish gentleman say boy ah lad
120,23,say boy ah lad look window stone
121,23,lad look window stone wall build bare
122,23,stone wall build bare hand place stone
123,23,bare hand place stone meself macgregor wall
124,23,stone meself macgregor wall builder take sip
125,23,wall builder take sip beer say aye
126,23,sip beer say aye look lake eye
127,23,aye look lake eye beautiful pier build
128,23,eye beautiful pier build meself laid board
129,23,build meself laid board hammer nail macgregor
130,23,board hammer nail macgregor pier builder continue
131,23,macgregor pier builder continue lad road build
132,23,continue lad road build bare hand laid
133,23,build bare hand laid inch pavement meself
134,23,laid inch pavement meself macgregor road builder
135,23,meself macgregor road builder return beer sip
136,23,builder return beer sip say agh screw
137,23,agh screw sheep
138,24,question 200 foot long 4 tooth answer
139,24,long 4 tooth answer row willie nelson
140,24,willie nelson concert
141,25,question difference lawyer plumber answer plumber work
142,25,work unclog system
143,26,president clinton look desk oval office aide
144,26,desk oval office aide nervously approach exclaim
145,26,aide nervously approach exclaim president abortion bill
146,26,exclaim president abortion bill mr president want
147,26,bill mr president want aide reply ahead
148,26,want aide reply ahead pay respond president
149,26,pay respond president
150,27,man arrive gates heaven st peter ask
151,27,heaven st peter ask religion man say
152,27,ask religion man say methodist st peter
153,27,say methodist st peter look list say
154,27,peter look list say room 24 quiet
155,27,say room 24 quiet pass room 8
156,27,quiet pass room 8 man arrive gates
157,27,8 man arrive gates heaven religion baptist
158,27,gates heaven religion baptist room 18 quiet
159,27,baptist room 18 quiet pass room 8
160,27,quiet pass room 8 man arrive gate
161,27,8 man arrive gate religion jewish room
162,27,gate religion jewish room 11 quiet pass
163,27,room 11 quiet pass room 8 man
164,27,pass room 8 man say understand different
165,27,man say understand different room different religion
166,27,different room different religion quiet pass room
167,27,religion quiet pass room 8 st peter
168,27,room 8 st peter tell catholics room
169,27,peter tell catholics room 8 think one
170,27,8 think one
171,28,american final world cup hey beer man
172,28,hey beer man
173,29,backwood midwestern state little johnny arrive school
174,29,little johnny arrive school hour late teacher
175,29,school hour late teacher late john johny
176,29,teacher late john johny big brother got
177,29,johny big brother got shoot ass teacher
178,29,got shoot ass teacher correct speech teacher
179,29,teacher correct speech teacher rectum johnny wrecked
180,29,teacher rectum johnny wrecked hell damn near
181,29,damn near kill
182,30,explorer deep amazon suddenly find surround bloodthirsty
183,30,suddenly find surround bloodthirsty group native surveying
184,30,bloodthirsty group native surveying situation say quietly
185,30,surveying situation say quietly oh god screw
186,30,quietly oh god screw sky darken voice
187,30,screw sky darken voice boom screw pick
188,30,voice boom screw pick stone foot bash
189,30,pick stone foot bash head chief standing
190,30,bash head chief standing stone bash life
191,30,standing stone bash life chief standing lifeless
192,30,life chief standing lifeless body breathe heavily
193,30,lifeless body breathe heavily look 100 angry
194,30,heavily look 100 angry native voice boom
195,30,boom okay screw
196,31,guy walk bar order beer say bartender
197,31,order beer say bartender hey get great
198,31,bartender hey get great polish joke barkeep
199,31,great polish joke barkeep glare say warn
200,31,barkeep glare say warn tone voice tell
201,31,warn tone voice tell joke well know
202,31,tell joke well know polish bouncer polish
203,31,know polish bouncer polish customer okay say
204,31,polish customer okay say customeri tell slowly
205,31,customeri tell slowly
206,32,jewish young man see psychiatrist eating sleep
207,32,see psychiatrist eating sleep disorder obsess mother
208,32,sleep disorder obsess mother soon sleep start
209,32,mother soon sleep start dream dream turn
210,32,start dream dream turn mother wake state
211,32,turn mother wake state downstair eat piece
212,32,state downstair eat piece toast psychiatrist reply
213,32,piece toast psychiatrist reply piece toast big
214,32,big boy like
215,33,order waiter ask yes prepare chicken special
216,33,yes prepare chicken special sir reply tell
217,33,special sir reply tell straight go die
218,33,straight go die
219,34,difference man woman woman want man satisfy
220,34,woman want man satisfy need man want
221,34,satisfy need man want woman satisfy need
222,34,woman satisfy need
223,35,question difference man toilet answer toilet follow
224,35,toilet follow use
225,36,irishman change lightbulb hold lightbulb drink room
226,36,drink room spin
227,37,darwin oh darwin
228,38,man discuss age old question enjoy sex
229,38,old question enjoy sex man woman woman
230,38,sex man woman woman walk listen awhile
231,38,woman walk listen awhile interrupt listen guy
232,38,awhile interrupt listen guy know ear itch
233,38,guy know ear itch little finger wiggle
234,38,itch little finger wiggle awhile afterward feel
235,38,wiggle awhile afterward feel well finger ear
236,38,well finger ear
237,39,arnold swartzeneger sylvester stallone make movie live
238,39,stallone make movie live great composer stallone
239,39,live great composer stallone say want mozart
240,39,stallone say want mozart swartzeneger say case
241,39,say case bach
242,40,horse walk bar bartender say long face
243,40,say long face
244,41,boy come home school tell mother get
245,41,school tell mother get school play mother
246,41,get school play mother ask play jewish
247,41,mother ask play jewish husband boy reply
248,41,jewish husband boy reply school tell teacher
249,41,reply school tell teacher want speak role
250,41,want speak role
251,42,couple marry 75 year husband 95th birthday
252,42,year husband 95th birthday wife decide surprise
253,42,birthday wife decide surprise hire prostitute day
254,42,surprise hire prostitute day doorbell ring husband
255,42,day doorbell ring husband use walker door
256,42,husband use walker door open 21yearold latex
257,42,door open 21yearold latex outfit smile say
258,42,latex outfit smile say hi super sex
259,42,say hi super sex old man say
260,42,man say soup
261,43,engineer exceptional gift fix thing mechanical serve
262,43,fix thing mechanical serve company loyally 30
263,43,serve company loyally 30 year happily retire
264,43,30 year happily retire year later company
265,43,retire year later company contact seemingly impossible
266,43,company contact seemingly impossible problem have multimillion
267,43,impossible problem have multimillion dollar machine try
268,43,multimillion dollar machine try machine fix avail
269,43,try machine fix avail desperation call retire
270,43,avail desperation call retire engineer solve problem
271,43,retire engineer solve problem past engineer reluctantly
272,43,problem past engineer reluctantly take challenge spend
273,43,reluctantly take challenge spend day study huge
274,43,spend day study huge machine end day
275,43,huge machine end day mark small x
276,43,day mark small x chalk particular component
277,43,x chalk particular component machine proudly state
278,43,component machine proudly state problem replace machine
279,43,state problem replace machine work perfectly company
280,43,machine work perfectly company receive bill 50000
281,43,company receive bill 50000 engineer service demand
282,43,50000 engineer service demand itemized accounting charge
283,43,demand itemized accounting charge engineer respond briefly
284,43,charge engineer respond briefly chalk mark 1
285,43,briefly chalk mark 1 knowing 49999 pay
286,43,1 knowing 49999 pay engineer retire peace
287,43,engineer retire peace
288,44,graduate science degree ask work graduate engineering
289,44,ask work graduate engineering degree ask work
290,44,engineering degree ask work graduate accounting degree
291,44,work graduate accounting degree ask cost graduate
292,44,degree ask cost graduate liberal arts degree
293,44,graduate liberal arts degree ask want fry
294,44,ask want fry
295,45,engineering student gather discuss possible designer human
296,45,discuss possible designer human body say mechanical
297,45,human body say mechanical engineer look joint
298,45,mechanical engineer look joint say electrical engineer
299,45,joint say electrical engineer nervous system thousand
300,45,engineer nervous system thousand electrical connection say
301,45,thousand electrical connection say actually civil engineer
302,45,say actually civil engineer run toxic waste
303,45,engineer run toxic waste pipeline recreational area
304,45,pipeline recreational area
305,46,question o j simpsons internet address answer
306,46,simpsons internet address answer slash slash backslash
307,46,answer slash slash backslash slash slash escape
308,46,slash slash escape
309,47,guy go confession say priest father 80
310,47,say priest father 80 year old widower
311,47,80 year old widower 11 grandchild night
312,47,widower 11 grandchild night meet beautiful flight
313,47,night meet beautiful flight attendant take home
314,47,flight attendant take home love twice priest
315,47,home love twice priest say son time
316,47,priest say son time confession father jewish
317,47,time confession father jewish telling tell everybody
318,47,telling tell everybody
