Joke Number,Text,Average Rating
1,A man visits the doctor . The doctor,0.9019966275293532
1,the doctor . The doctor says `` I,0.9019966275293532
1,The doctor says `` I have bad news,0.9019966275293532
1,`` I have bad news for you.You have,0.9019966275293532
1,bad news for you.You have cancer and Alzheimer,0.9019966275293532
1,you.You have cancer and Alzheimer 's disease '',0.9019966275293532
1,and Alzheimer 's disease '' . The man,0.9019966275293532
1,disease '' . The man replies `` Well,0.9019966275293532
1,"The man replies `` Well , thank God",0.9019966275293532
1,"`` Well , thank God I do n't",0.9019966275293532
1,thank God I do n't have cancer !,0.9019966275293532
2,"Two cannibals are eating a clown , one",0.1629891997618845
2,"eating a clown , one turns to other",0.1629891997618845
2,", one turns to other and says :",0.1629891997618845
2,to other and says : `` Does this,0.1629891997618845
2,says : `` Does this taste funny to,0.1629891997618845
3,Q : Whats the difference between greeting a,0.1934109005616937
3,the difference between greeting a Queen and greeting,0.1934109005616937
3,greeting a Queen and greeting the President of,0.1934109005616937
3,and greeting the President of the United States,0.1934109005616937
3,President of the United States ? A :,0.1934109005616937
3,United States ? A : You only have,0.1934109005616937
3,A : You only have to get on,0.1934109005616937
3,only have to get on one knee to,0.1934109005616937
3,get on one knee to greet the queen,0.1934109005616937
4,"Q . What do a hurricane , a",-1.4125989774514944
4,"do a hurricane , a tornado , and",-1.4125989774514944
4,", a tornado , and a redneck divorce",-1.4125989774514944
4,", and a redneck divorce all have in",-1.4125989774514944
4,redneck divorce all have in common ? A,-1.4125989774514944
4,have in common ? A . Someone 's,-1.4125989774514944
4,? A . Someone 's going to lose,-1.4125989774514944
4,Someone 's going to lose their trailer ...,-1.4125989774514944
5,A guy stood over his tee shot for,0.2353523601934473
5,over his tee shot for what seemed an,0.2353523601934473
5,"shot for what seemed an eternity , looking",0.2353523601934473
5,"seemed an eternity , looking up , looking",0.2353523601934473
5,", looking up , looking down , measuring",0.2353523601934473
5,", looking down , measuring the distance ,",0.2353523601934473
5,", measuring the distance , figuring the wind",0.2353523601934473
5,"distance , figuring the wind direction and speed",0.2353523601934473
5,the wind direction and speed . Driving his,0.2353523601934473
5,and speed . Driving his partner nuts .,0.2353523601934473
5,Driving his partner nuts . Finally his exasperated,0.2353523601934473
5,"nuts . Finally his exasperated partner says ,",0.2353523601934473
5,"his exasperated partner says , `` What the",0.2353523601934473
5,"says , `` What the hell is taking",0.2353523601934473
5,What the hell is taking so long ?,0.2353523601934473
5,is taking so long ? Hit the goddamn,0.2353523601934473
5,long ? Hit the goddamn ball ! '',0.2353523601934473
5,the goddamn ball ! '' The guy answers,0.2353523601934473
5,"! '' The guy answers , `` My",0.2353523601934473
5,"guy answers , `` My wife is up",0.2353523601934473
5,`` My wife is up there watching me,0.2353523601934473
5,is up there watching me from the clubhouse,0.2353523601934473
5,watching me from the clubhouse . I want,0.2353523601934473
5,the clubhouse . I want to make this,0.2353523601934473
5,I want to make this a perfect shot,0.2353523601934473
5,make this a perfect shot . '' ``,0.2353523601934473
5,"perfect shot . '' `` Well , hell",0.2353523601934473
5,"'' `` Well , hell , man ,",0.2353523601934473
5,", hell , man , you do n't",0.2353523601934473
5,"man , you do n't stand a snowball",0.2353523601934473
5,do n't stand a snowball 's chance in,0.2353523601934473
5,a snowball 's chance in hell of hitting,0.2353523601934473
5,chance in hell of hitting her from here,0.2353523601934473
6,They asked the Japanese visitor if they have,1.3302770271976567
6,Japanese visitor if they have elections in his,1.3302770271976567
6,they have elections in his country . ``,1.3302770271976567
6,in his country . `` Every Morning '',1.3302770271976567
6,. `` Every Morning '' he answers .,1.3302770271976567
7,The father was very anxious to marry off,-0.6339466764757974
7,very anxious to marry off his only daughter,-0.6339466764757974
7,marry off his only daughter so he wanted,-0.6339466764757974
7,only daughter so he wanted to impress her,-0.6339466764757974
7,he wanted to impress her date . ``,-0.6339466764757974
7,impress her date . `` Do you like,-0.6339466764757974
7,". `` Do you like to screw ,",-0.6339466764757974
7,"you like to screw , '' he says",-0.6339466764757974
7,"screw , '' he says . `` Huh",-0.6339466764757974
7,he says . `` Huh '' replied the,-0.6339466764757974
7,`` Huh '' replied the surprised first date,-0.6339466764757974
7,replied the surprised first date . `` My,-0.6339466764757974
7,first date . `` My daughter she loves,-0.6339466764757974
7,`` My daughter she loves to screw and,-0.6339466764757974
7,she loves to screw and she 's good,-0.6339466764757974
7,"screw and she 's good at it ,",-0.6339466764757974
7,"'s good at it , you and her",-0.6339466764757974
7,"it , you and her should go screw",-0.6339466764757974
7,"and her should go screw , '' carefully",-0.6339466764757974
7,"go screw , '' carefully explained the father",-0.6339466764757974
7,'' carefully explained the father . Now very,-0.6339466764757974
7,the father . Now very interested the boy,-0.6339466764757974
7,"Now very interested the boy replied , ``",-0.6339466764757974
7,"the boy replied , `` Yes , sir",-0.6339466764757974
